VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
650 1075 0 0 0 0 0 205 3392 5207 294 1151 2023 1342 66 125
650 1075 0 0 0 0 100 216 4511 7504 307 1955 4468 1395 522 2184
650 1075 0 0 0 0 200 225 5790 9516 321 2911 6533 1450 1077 3868
650 1075 0 0 0 0 300 237 7224 11339 336 4034 8402 1508 1723 5362
650 1075 0 0 0 0 400 247 8803 13017 351 5285 10110 1567 2455 6722
650 1075 0 0 0 0 500 258 10527 14584 367 6675 11700 1628 3266 7979
650 1075 0 0 0 0 600 270 12396 16061 382 8161 13171 1689 4151 9152
650 1075 0 0 0 0 700 281 14382 17461 398 9760 14566 1754 5110 10254
650 1075 0 0 0 0 800 293 16488 18784 413 11476 15888 1818 6136 11296
650 1075 0 0 0 0 900 304 18688 20040 430 13264 17129 1884 7226 12283
650 1075 0 0 0 60 0 208 3386 5207 294 1151 2023 1342 66 125
650 1075 0 0 0 60 100 219 4504 7504 307 1953 4468 1395 522 2184
650 1075 0 0 0 60 200 230 5783 9516 322 2911 6533 1450 1077 3868
650 1075 0 0 0 60 300 239 7217 11339 336 4034 8402 1508 1723 5362
650 1075 0 0 0 60 400 251 8795 13017 351 5285 10110 1567 2455 6722
650 1075 0 0 0 60 500 263 10518 14584 367 6675 11700 1628 3266 7979
650 1075 0 0 0 60 600 274 12387 16061 382 8160 13171 1689 4151 9152
650 1075 0 0 0 60 700 286 14373 17461 398 9760 14566 1754 5110 10254
650 1075 0 0 0 60 800 298 16478 18784 413 11476 15888 1818 6136 11296
650 1075 0 0 0 60 900 309 18678 20040 430 13264 17129 1884 7226 12283
650 1075 0 0 0 120 0 212 3381 5207 294 1150 2023 1342 66 125
650 1075 0 0 0 120 100 223 4498 7504 308 1953 4468 1395 522 2184
650 1075 0 0 0 120 200 233 5776 9516 322 2911 6533 1450 1077 3868
650 1075 0 0 0 120 300 244 7209 11339 336 4034 8402 1508 1723 5362
650 1075 0 0 0 120 400 256 8787 13017 351 5285 10110 1567 2455 6722
650 1075 0 0 0 120 500 267 10510 14584 367 6675 11700 1628 3266 7979
650 1075 0 0 0 120 600 279 12378 16061 382 8160 13171 1689 4151 9152
