VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
575 1000 300 1200 10 200 0 250 4510 5207 350 1578 2023
575 1000 300 1200 10 200 100 259 6245 7504 363 2973 4468
575 1000 300 1200 10 200 200 269 8056 9516 376 4437 6533
575 1000 300 1200 10 200 300 280 9956 11339 390 6008 8402
575 1000 300 1200 10 200 400 291 11952 13017 405 7661 10110
575 1000 300 1200 10 225 0 251 4507 5207 350 1578 2023
575 1000 300 1200 10 225 100 261 6242 7504 363 2973 4468
575 1000 300 1200 10 225 200 271 8053 9516 376 4437 6533
575 1000 300 1200 10 225 300 282 9953 11339 390 6008 8402
575 1000 300 1200 10 225 400 293 11949 13017 405 7661 10110
575 1000 300 1200 10 250 0 253 4504 5207 350 1578 2023
575 1000 300 1200 10 250 100 262 6239 7504 363 2973 4468
575 1000 300 1200 10 250 200 273 8049 9516 377 4437 6533
575 1000 300 1200 10 250 300 283 9949 11339 391 6008 8402
575 1000 300 1200 10 250 400 294 11945 13017 405 7661 10110
575 1000 300 1200 10 275 0 254 4501 5207 351 1578 2023
575 1000 300 1200 10 275 100 264 6236 7504 363 2973 4468
575 1000 300 1200 10 275 200 274 8046 9516 377 4437 6533
575 1000 300 1200 10 275 300 285 9946 11339 391 6008 8402
575 1000 300 1200 10 275 400 296 11941 13017 405 7661 10110
575 1000 300 1200 10 300 0 256 4498 5207 351 1578 2023
575 1000 300 1200 10 300 100 266 6233 7504 363 2973 4468
575 1000 300 1200 10 300 200 276 8043 9516 377 4437 6533
575 1000 300 1200 10 300 300 287 9942 11339 391 6008 8402
575 1000 300 1200 10 300 400 298 11938 13017 405 7661 10110
575 1000 300 1200 20 200 0 252 4551 5207 358 1610 2023
575 1000 300 1200 20 200 100 262 6294 7504 370 3015 4468
575 1000 300 1200 20 200 200 272 8112 9516 384 4488 6533
575 1000 300 1200 20 200 300 282 10021 11339 398 6070 8402
575 1000 300 1200 20 200 400 293 12026 13017 413 7736 10110
575 1000 300 1200 20 225 0 253 4548 5207 358 1610 2023
575 1000 300 1200 20 225 100 263 6290 7504 370 3015 4468
575 1000 300 1200 20 225 200 274 8108 9516 384 4488 6533
575 1000 300 1200 20 225 300 284 10018 11339 398 6070 8402
575 1000 300 1200 20 225 400 295 12022 13017 413 7736 10110
575 1000 300 1200 20 250 0 255 4545 5207 358 1610 2023
575 1000 300 1200 20 250 100 265 6288 7504 371 3015 4468
575 1000 300 1200 20 250 200 275 8105 9516 384 4488 6533
575 1000 300 1200 20 250 300 286 10014 11339 398 6070 8402
575 1000 300 1200 20 250 400 297 12019 13017 413 7736 10110
575 1000 300 1200 20 275 0 257 4543 5207 358 1610 2023
575 1000 300 1200 20 275 100 267 6285 7504 371 3015 4468
575 1000 300 1200 20 275 200 277 8103 9516 384 4488 6533
575 1000 300 1200 20 275 300 288 10011 11339 398 6070 8402
575 1000 300 1200 20 275 400 299 12015 13017 413 7736 10110
575 1000 300 1200 20 300 0 258 4540 5207 358 1610 2023
575 1000 300 1200 20 300 100 268 6282 7504 371 3015 4468
575 1000 300 1200 20 300 200 279 8099 9516 384 4488 6533
575 1000 300 1200 20 300 300 289 10007 11339 398 6070 8402
575 1000 300 1200 20 300 400 301 12011 13017 413 7736 10110
575 1000 300 1200 30 200 0 254 4587 5207 363 1635 2023
575 1000 300 1200 30 200 100 264 6335 7504 376 3047 4468
575 1000 300 1200 30 200 200 274 8160 9516 390 4528 6533
575 1000 300 1200 30 200 300 285 10075 11339 405 6117 8402
575 1000 300 1200 30 200 400 296 12087 13017 420 7790 10110
575 1000 300 1200 30 225 0 255 4584 5207 363 1635 2023
575 1000 300 1200 30 225 100 265 6332 7504 376 3047 4468
575 1000 300 1200 30 225 200 276 8157 9516 390 4528 6533
575 1000 300 1200 30 225 300 286 10072 11339 405 6117 8402
575 1000 300 1200 30 225 400 298 12083 13017 420 7790 10110
