LONG,LAT,DATA
-8.968677,-48.177590,130.9651
-16.362747,-45.128010,156.1005
-17.745066,-49.106980,131.9460
-17.304153,-48.281310,137.7448
-14.016496,-52.216900,6.7084
-15.789343,-47.927560,133.9983
-19.539210,-49.511330,139.0640
-14.421327,-54.035360,127.4518
-11.745782,-49.047030,141.0585
-19.695517,-51.187690,129.1398
-14.469358,-48.487560,156.4668
-16.784896,-47.619660,134.2805
-18.200855,-45.458360,151.2068
-13.251094,-43.403650,159.6628
-16.686316,-43.847630,147.9553
-18.409761,-49.190610,120.7780
-15.220199,-48.991070,130.4824
-16.341587,-53.760890,102.9770
-17.258064,-44.836000,131.4172
-21.319138,-50.931580,133.2298
-12.627315,-52.228910,54.4610
-20.745237,-46.639160,144.0929
-17.569319,-52.594830,135.5785
-20.359760,-47.775200,136.7018
-15.939729,-50.144330,0.1231
-18.969142,-50.634490,134.3943
-17.784770,-46.113940,144.2019
-19.420320,-54.550880,111.2979
-19.481935,-45.599320,146.7000
-18.917072,-48.256570,0.1188
-13.253520,-46.893260,149.2053
-12.152394,-45.827450,145.9696
-16.966841,-51.815670,133.0972
-11.084858,-43.139980,158.0928
-18.747711,-44.457850,154.8213
-11.594448,-46.842090,142.9356
-16.423059,-51.148000,133.8287
-15.300159,-45.614310,147.2942
-16.679786,-48.611710,126.8244
-17.923622,-51.714670,139.5682
-19.875271,-47.431020,134.5158
-18.996684,-46.989350,140.3070
-16.260542,-47.969620,135.4823
-14.089210,-46.364970,145.8680
-14.408228,-44.401230,162.6545
-16.554101,-46.889350,146.5230
-19.122471,-51.727320,133.8303
-14.133074,-47.522580,129.1177
-15.085958,-44.010360,160.5482
-21.085675,-49.923880,142.0976
-18.154779,-47.926140,132.1785
-12.614893,-47.879170,138.7624
-17.175051,-54.506900,127.3266
-20.559175,-48.549970,136.1684
-13.332386,-44.613760,158.0954
-17.785303,-50.968690,124.2831
-21.132937,-48.844260,129.2461
-18.802187,-52.606200,133.6538
-9.108199,-45.932160,136.2800
-15.596491,-47.628000,129.4352
-13.184857,-53.253660,128.5469
-11.002768,-44.529650,150.5244
-19.605696,-46.946170,137.1106
-15.524262,-46.435360,141.7313
-19.885398,-44.418830,140.7967
-9.338611,-50.350800,118.8004
-10.190744,-48.308110,0.1024
-15.531431,-55.136490,121.7326
-20.444440,-52.875300,130.4352
-11.887377,-49.602150,135.5666
-16.462419,-54.581510,124.4523
-17.635277,-54.764700,123.2598
-17.841011,-53.284740,128.7667
-14.927883,-53.886430,131.7237
-10.434440,-45.921400,139.3102
-20.454930,-45.458250,141.5312
-20.584475,-47.385490,131.2651
-20.165025,-50.591340,142.2223
-20.447195,-54.726150,123.4679
-20.790000,-51.712200,131.3529
-14.979792,-49.539770,129.2483
-12.124715,-45.020490,147.0171
-9.875196,-45.345050,153.1003
-16.642841,-49.222220,0.1146
-18.231052,-43.642690,142.6392
-19.985860,-48.155740,132.9324
-18.512146,-54.731160,127.5093
-10.639518,-51.574560,124.9133
-18.492665,-53.172610,127.9544
-16.962536,-50.424500,115.7232
-9.576389,-49.723300,125.5550
-15.902658,-52.241720,131.2335
