DATE LAT LON BAND_1 BAND_2 BAND_3 BAND_4 BAND_5, BAND_9, CLM
20120620.0000 -12.4014 -50.1536 0.0993 0.2604 0.2403 296.6346 241.7604 292.5999 0.0000
20120620.0000 -12.4362 -50.1884 0.0980 0.2392 0.2538 297.7488 242.3222 294.4051 0.0000
20120620.0000 -12.4710 -50.2232 0.0937 0.2229 0.2226 296.7376 242.3222 294.1490 0.0000
20120620.0000 -12.5059 -50.2929 0.0997 0.2546 0.2411 296.4273 242.2106 292.9892 0.0000
20120620.0000 -12.5059 -50.2581 0.0997 0.2546 0.2411 296.4273 242.2106 292.9892 0.0000
20120620.0000 -12.5059 -50.2232 0.1010 0.2413 0.2443 297.0447 242.2665 293.6350 1.0000
20120620.0000 -12.5407 -50.3278 0.1822 0.2914 0.3009 297.5494 241.9299 287.1337 0.0000
20120620.0000 -12.5407 -50.2929 0.1171 0.2631 0.2462 296.6346 242.0425 291.2920 0.0000
20120620.0000 -12.5407 -50.2581 0.1054 0.2563 0.2328 296.3231 242.3222 292.5999 2.0000
20120620.0000 -12.5756 -50.3626 0.1534 0.2733 0.2614 296.4273 241.9299 289.7015 0.0000
20120620.0000 -12.5756 -50.3278 0.1272 0.2648 0.2397 295.7964 242.1547 290.8966 0.0000
20120620.0000 -12.5756 -50.2929 0.1272 0.2648 0.2397 295.7964 242.1547 290.8966 0.0000
20120620.0000 -12.5756 -50.2581 0.1156 0.2680 0.2330 295.4756 242.0986 291.5548 3.0000
20120620.0000 -12.5756 -50.2232 0.1156 0.2680 0.2330 295.4756 242.0986 291.5548 2.0000
20120620.0000 -12.6104 -50.3626 0.1028 0.2585 0.2317 296.1136 241.7604 292.8596 0.0000
20120620.0000 -12.6104 -50.3278 0.1056 0.2534 0.2365 296.6346 242.0425 292.9892 0.0000
20120620.0000 -12.6104 -50.2929 0.1056 0.2534 0.2365 296.6346 242.0425 292.9892 0.0000
20120620.0000 -12.6104 -50.2581 0.1099 0.2632 0.2347 296.1136 241.9863 292.5999 2.0000
20120620.0000 -12.6453 -50.3974 0.1115 0.2686 0.2881 298.4364 242.0425 293.8923 0.0000
20120620.0000 -12.6453 -50.3626 0.1115 0.2686 0.2881 298.4364 242.0425 293.8923 0.0000
20120620.0000 -12.6453 -50.3278 0.1144 0.2602 0.3062 299.4853 241.7604 294.4051 0.0000
20120620.0000 -12.6453 -50.2929 0.1013 0.2567 0.2597 297.4492 241.9299 294.0208 1.0000
20120620.0000 -12.6801 -50.4323 0.1117 0.2623 0.2769 297.4492 242.1547 293.3772 0.0000
20120620.0000 -12.6801 -50.3974 0.1261 0.2737 0.3248 299.2973 242.1547 293.8923 0.0000
20120620.0000 -12.6801 -50.3626 0.1289 0.2553 0.3395 300.1339 241.9299 294.2772 0.0000
20120620.0000 -12.6801 -50.3278 0.1289 0.2553 0.3395 300.1339 241.9299 294.2772 0.0000
20120620.0000 -12.6801 -50.2929 0.1028 0.2403 0.2731 298.4364 241.9299 294.2772 0.0000
20120620.0000 -12.7149 -50.4671 0.1146 0.2707 0.2720 297.2476 241.6468 293.1187 0.0000
20120620.0000 -12.7149 -50.4323 0.1334 0.2822 0.3001 298.3391 241.9863 292.5999 0.0000
20120620.0000 -12.7149 -50.3974 0.1334 0.2822 0.3001 298.3391 241.9863 292.5999 0.0000
20120620.0000 -12.7149 -50.3626 0.1319 0.2521 0.3181 299.2973 241.8735 293.5062 0.0000
20120620.0000 -12.7149 -50.3278 0.1319 0.2521 0.3181 299.2973 241.8735 293.5062 0.0000
20120620.0000 -12.7149 -50.2929 0.1116 0.2389 0.2982 299.8576 242.0425 294.9156 0.0000
20120620.0000 -12.7498 -50.4671 0.1306 0.2908 0.3004 297.9469 241.8170 292.5999 0.0000
20120620.0000 -12.7498 -50.4323 0.1364 0.2692 0.2971 298.4364 241.9299 292.8596 0.0000
20120620.0000 -12.7498 -50.3974 0.1364 0.2692 0.2971 298.4364 241.9299 292.8596 0.0000
20120620.0000 -12.7498 -50.3626 0.1248 0.2591 0.2985 298.7262 242.0425 294.0208 0.0000
20120620.0000 -12.7498 -50.3278 0.1174 0.2506 0.3000 299.4853 241.9863 294.6606 0.0000
20120620.0000 -12.7846 -50.4671 0.1206 0.2678 0.2658 297.4492 241.7036 293.2480 0.0000
20120620.0000 -12.7846 -50.4323 0.1191 0.2527 0.2790 298.9178 241.9299 294.5330 0.0000
20120620.0000 -12.7846 -50.3974 0.1219 0.2592 0.3203 300.4075 241.9863 295.1699 0.0000
20120620.0000 -12.7846 -50.3626 0.1219 0.2592 0.3203 300.4075 241.9863 295.1699 0.0000
20120620.0000 -12.7846 -50.3278 0.1175 0.2574 0.3118 299.6720 242.0986 295.1699 0.0000
20120620.0000 -12.8195 -50.4671 0.1177 0.2595 0.3107 299.7650 241.8170 295.6769 0.0000
20120620.0000 -12.8195 -50.4323 0.1177 0.2595 0.3107 299.7650 241.8170 295.6769 0.0000
20120620.0000 -12.8195 -50.3974 0.1307 0.2477 0.3553 301.9127 241.9299 296.1816 0.0000
20120620.0000 -12.8195 -50.3626 0.1263 0.2476 0.3385 301.3021 241.9299 295.6769 0.0000
20120620.0000 -12.8195 -50.3278 0.1263 0.2476 0.3385 301.3021 241.9299 295.6769 0.0000
20120620.0000 -12.8195 -49.1432 0.1161 0.2363 0.3098 299.6720 241.9863 294.5330 0.0000
20120620.0000 -12.8195 -48.8645 0.0986 0.2242 0.2452 296.8404 242.2665 292.3395 0.0000
20120620.0000 -12.8543 -50.5020 0.1135 0.2631 0.3011 298.9178 241.7604 295.1699 0.0000
20120620.0000 -12.8543 -50.4671 0.1207 0.2580 0.3408 300.4982 242.0425 295.9296 0.0000
20120620.0000 -12.8543 -50.4323 0.1177 0.2362 0.3107 299.8576 242.0425 295.8033 0.0000
20120620.0000 -12.8543 -50.3974 0.1177 0.2362 0.3107 299.8576 242.0425 295.8033 0.0000
20120620.0000 -12.8543 -50.3626 0.1191 0.2377 0.3105 300.0421 241.8170 295.4237 0.0000
20120620.0000 -12.8543 -50.3278 0.1191 0.2377 0.3105 300.0421 241.8170 295.4237 0.0000
20120620.0000 -12.8543 -50.2929 0.1146 0.2492 0.3103 300.0421 241.9863 295.4237 0.0000
20120620.0000 -12.8543 -50.2581 0.1102 0.2424 0.2935 299.9500 242.2665 295.4237 0.0000
20120620.0000 -12.8543 -49.1780 0.1090 0.2282 0.2919 299.3914 242.3779 295.1699 0.0000
20120620.0000 -12.8543 -49.1432 0.1090 0.2282 0.2919 299.3914 242.3779 295.1699 0.0000
20120620.0000 -12.8543 -49.1083 0.1132 0.2281 0.3081 299.7650 242.5443 295.2969 0.0000
20120620.0000 -12.8543 -49.0735 0.1089 0.2263 0.2965 299.1082 242.9294 294.6606 0.0000
20120620.0000 -12.8543 -48.8993 0.1059 0.2310 0.2863 299.1082 242.7649 294.9156 0.0000
20120620.0000 -12.8543 -48.8645 0.1058 0.2292 0.2829 298.3391 242.1547 293.7638 0.0000
20120620.0000 -12.8543 -48.8296 0.1058 0.2292 0.2829 298.3391 242.1547 293.7638 2.0000
20120620.0000 -12.8543 -46.3908 0.1034 0.2192 0.2764 300.8582 242.1547 297.3091 1.0000
20120620.0000 -12.8891 -50.5020 0.1165 0.2600 0.3046 299.1082 241.3612 295.4237 0.0000
20120620.0000 -12.8891 -50.4671 0.1237 0.2481 0.3426 301.1253 241.6468 296.1816 0.0000
20120620.0000 -12.8891 -50.4323 0.1032 0.2297 0.2743 298.8221 241.8735 295.2969 0.0000
20120620.0000 -12.8891 -50.3974 0.1032 0.2297 0.2743 298.8221 241.8735 295.2969 0.0000
20120620.0000 -12.8891 -50.3626 0.1090 0.2362 0.2691 299.0131 241.8170 295.1699 0.0000
20120620.0000 -12.8891 -50.3278 0.1220 0.2444 0.3304 301.2138 241.7036 295.9296 0.0000
20120620.0000 -12.8891 -50.2929 0.1220 0.2444 0.3304 301.2138 241.7036 295.9296 0.0000
20120620.0000 -12.8891 -50.2581 0.1146 0.2359 0.3152 300.4075 241.9299 295.5504 0.0000
20120620.0000 -12.8891 -50.2232 0.1146 0.2359 0.3152 300.4075 241.9299 295.5504 0.0000
20120620.0000 -12.8891 -49.2129 0.1005 0.2219 0.2709 298.4364 242.1547 294.9156 0.0000
20120620.0000 -12.8891 -49.1780 0.1062 0.2234 0.2937 299.6720 242.4889 295.5504 0.0000
20120620.0000 -12.8891 -49.1432 0.1062 0.2234 0.2937 299.6720 242.4889 295.5504 0.0000
20120620.0000 -12.8891 -49.1083 0.1091 0.2300 0.3052 299.9500 242.2665 295.6769 0.0000
20120620.0000 -12.8891 -48.8993 0.1088 0.2327 0.2979 299.6720 243.2017 295.4237 0.0000
20120620.0000 -12.8891 -48.8645 0.1102 0.2343 0.2945 299.2029 242.7099 294.4051 0.0000
20120620.0000 -12.8891 -48.8296 0.1102 0.2343 0.2945 299.2029 242.7099 294.4051 0.0000
20120620.0000 -12.8891 -48.7948 0.1101 0.2439 0.2845 297.9469 241.7604 292.2091 0.0000
20120620.0000 -12.8891 -46.4256 0.0993 0.2065 0.2702 300.6787 242.0986 297.5582 1.0000
20120620.0000 -12.8891 -46.3908 0.0993 0.2065 0.2702 300.6787 242.0986 297.5582 3.0000
20120620.0000 -12.9240 -50.5020 0.1150 0.2566 0.3112 299.9500 241.5329 295.9296 0.0000
20120620.0000 -12.9240 -50.4671 0.1150 0.2566 0.3112 299.9500 241.5329 295.9296 0.0000
20120620.0000 -12.9240 -50.4323 0.1091 0.2415 0.2927 299.7650 241.6468 295.8033 0.0000
20120620.0000 -12.9240 -50.3974 0.1134 0.2380 0.2909 300.2254 241.7604 295.6769 0.0000
20120620.0000 -12.9240 -50.3626 0.1134 0.2380 0.2909 300.2254 241.7604 295.6769 0.0000
20120620.0000 -12.9240 -50.3278 0.1278 0.2362 0.3455 302.0850 241.7036 296.3075 0.0000
