layer_1 layer_2 layer_3 iter score
6.0000 12.0000 3.0000 200.0000 0.8805
6.0000 12.0000 3.0000 600.0000 0.8773
6.0000 12.0000 3.0000 1000.0000 0.8834
6.0000 12.0000 6.0000 200.0000 0.8824
6.0000 12.0000 6.0000 600.0000 0.8749
6.0000 12.0000 6.0000 1000.0000 0.8797
6.0000 12.0000 9.0000 200.0000 0.8839
6.0000 12.0000 9.0000 600.0000 0.8835
6.0000 12.0000 9.0000 1000.0000 0.8825
6.0000 12.0000 12.0000 200.0000 0.8782
6.0000 12.0000 12.0000 600.0000 0.8828
6.0000 12.0000 12.0000 1000.0000 0.8845
6.0000 24.0000 3.0000 200.0000 0.8834
6.0000 24.0000 3.0000 600.0000 0.8859
6.0000 24.0000 3.0000 1000.0000 0.8781
6.0000 24.0000 6.0000 200.0000 0.8800
6.0000 24.0000 6.0000 600.0000 0.8818
6.0000 24.0000 6.0000 1000.0000 0.8804
6.0000 24.0000 9.0000 200.0000 0.8820
6.0000 24.0000 9.0000 600.0000 0.8830
6.0000 24.0000 9.0000 1000.0000 0.8774
6.0000 24.0000 12.0000 200.0000 0.8794
6.0000 24.0000 12.0000 600.0000 0.8781
6.0000 24.0000 12.0000 1000.0000 0.8817
6.0000 36.0000 3.0000 200.0000 0.8779
6.0000 36.0000 3.0000 600.0000 0.8834
6.0000 36.0000 3.0000 1000.0000 0.8813
6.0000 36.0000 6.0000 200.0000 0.8774
6.0000 36.0000 6.0000 600.0000 0.8810
6.0000 36.0000 6.0000 1000.0000 0.8786
6.0000 36.0000 9.0000 200.0000 0.8842
6.0000 36.0000 9.0000 600.0000 0.8852
6.0000 36.0000 9.0000 1000.0000 0.8784
6.0000 36.0000 12.0000 200.0000 0.8855
6.0000 36.0000 12.0000 600.0000 0.8883
6.0000 36.0000 12.0000 1000.0000 0.8799
6.0000 48.0000 3.0000 200.0000 0.8840
6.0000 48.0000 3.0000 600.0000 0.8799
6.0000 48.0000 3.0000 1000.0000 0.8850
6.0000 48.0000 6.0000 200.0000 0.8857
6.0000 48.0000 6.0000 600.0000 0.8803
6.0000 48.0000 6.0000 1000.0000 0.8831
6.0000 48.0000 9.0000 200.0000 0.8862
6.0000 48.0000 9.0000 600.0000 0.8811
6.0000 48.0000 9.0000 1000.0000 0.8847
6.0000 48.0000 12.0000 200.0000 0.8855
6.0000 48.0000 12.0000 600.0000 0.8849
6.0000 48.0000 12.0000 1000.0000 0.8852
6.0000 60.0000 3.0000 200.0000 0.8846
6.0000 60.0000 3.0000 600.0000 0.8811
6.0000 60.0000 3.0000 1000.0000 0.8863
6.0000 60.0000 6.0000 200.0000 0.8878
6.0000 60.0000 6.0000 600.0000 0.8846
6.0000 60.0000 6.0000 1000.0000 0.8847
