statistics in file: T:\EUMETSAT\PCA\msg_pca_20130101_20151231.tif
BAND	MEAN	VAR
1	0.6788	0.0039
2	0.6782	0.0031
3	0.6651	0.0025
4	0.6743	0.0033
5	0.6685	0.0042
6	0.6481	0.0039
7	0.6460	0.0033
8	0.6618	0.0029
9	0.6933	0.0027
10	0.6907	0.0023
11	0.6796	0.0023
12	0.6529	0.0022
13	0.6300	0.0021
14	0.6046	0.0020
15	0.5712	0.0021
16	0.5315	0.0024
17	0.4943	0.0027
18	0.4659	0.0028
19	0.4391	0.0027
20	0.4261	0.0026
21	0.4212	0.0028
22	0.4253	0.0031
23	0.4390	0.0037
24	0.4657	0.0043
25	0.4951	0.0044
26	0.5368	0.0045
27	0.5749	0.0043
28	0.6029	0.0042
29	0.6202	0.0044
30	0.6650	0.0043
statistics in file: T:\EUMETSAT\PCA\mod_pca_v2010_20130101_20151231.tif
BAND	MEAN	VAR
1	0.6809	0.0107
2	0.6664	0.0097
3	0.6680	0.0097
4	0.6828	0.0112
5	0.6858	0.0104
6	0.7015	0.0096
7	0.7099	0.0094
8	0.6990	0.0094
9	0.6681	0.0096
10	0.6331	0.0099
11	0.5933	0.0106
12	0.5479	0.0116
13	0.5017	0.0126
14	0.4611	0.0125
15	0.4296	0.0117
16	0.4103	0.0111
17	0.4184	0.0121
18	0.4383	0.0134
19	0.4864	0.0145
20	0.5452	0.0145
21	0.5980	0.0134
22	0.6434	0.0107
23	0.6788	0.0111
