statistics in file: T:\EUMETSAT\ANALYSES\PCA_2909\msg_pca_20130101_20151231.tif
BAND	MEAN	VAR
1	0.6788	0.0039
2	0.6782	0.0031
3	0.6651	0.0025
4	0.6743	0.0033
5	0.6685	0.0042
6	0.6481	0.0039
7	0.6460	0.0033
8	0.6618	0.0029
9	0.6933	0.0027
10	0.6907	0.0023
11	0.6796	0.0023
12	0.6529	0.0022
13	0.6300	0.0021
14	0.6046	0.0020
15	0.5712	0.0021
16	0.5315	0.0024
17	0.4943	0.0027
18	0.4659	0.0028
19	0.4391	0.0027
20	0.4261	0.0026
21	0.4212	0.0028
22	0.4253	0.0031
23	0.4390	0.0037
24	0.4657	0.0043
25	0.4951	0.0044
26	0.5368	0.0045
27	0.5749	0.0043
28	0.6029	0.0042
29	0.6202	0.0044
30	0.6650	0.0043
statistics in file: T:\EUMETSAT\ANALYSES\PCA_2909\mod13_pca_20130101_20151231.tif
BAND	MEAN	VAR
1	0.6802	0.0110
2	0.6660	0.0100
3	0.6677	0.0098
4	0.6825	0.0114
5	0.6855	0.0105
6	0.7010	0.0098
7	0.7093	0.0097
8	0.6984	0.0097
9	0.6675	0.0099
10	0.6324	0.0103
11	0.5926	0.0109
12	0.5472	0.0118
13	0.5011	0.0128
14	0.4604	0.0127
15	0.4288	0.0119
16	0.4096	0.0113
17	0.4176	0.0123
18	0.4375	0.0136
19	0.4859	0.0147
20	0.5448	0.0146
21	0.5977	0.0136
22	0.6430	0.0108
23	0.6785	0.0112
