Start to generate file: class_mod_msg.csv
[ 11.  20.  -3.   3.   0.]
[  5.  49.   0.   2.   0.]
[  5.  57.   1.   0.   0.]
[  5.  69.   2.   2.   0.]
[  5.  95.   4.   2.   0.]
[   5.  100.    5.    0.    0.]
[  5.  60.   1.   0.   2.]
[  5.  62.   1.   0.   2.]
[  5.  90.   4.   0.   2.]
[ 11.  52.   0.   0.   0.]
[ 11.  57.   1.   0.   2.]
[ 11.  52.   0.   2.   2.]
[  5.  55.   0.   3.   2.]
[ 11.  57.   1.   3.   0.]
[ 11.  56.   1.   3.   0.]
[ 11.  63.   1.   0.   0.]
[ 12.  36.  -1.   3.   0.]
[  5.  63.   1.   0.   0.]
[  5.  90.   4.   0.   0.]
[  2.  50.   0.   1.   2.]
[ 11.  55.   0.   1.   2.]
[  5.  60.   1.   1.   0.]
[  5.  86.   4.   2.   2.]
[ 11.  36.  -1.   3.   2.]
[ 11.  60.   1.   0.   2.]
[ 11.  54.   0.   3.   2.]
[ 11.  63.   1.   0.   2.]
[ 11.  55.   0.   2.   2.]
[ 11.  57.   1.   2.   2.]
[ 11.  81.   3.   3.   0.]
[ 11.  53.   0.   1.   0.]
[  5.  43.  -1.   3.   0.]
[  5.  64.   1.   2.   1.]
[   5.  100.    5.    2.    2.]
[  5.  90.   4.   2.   0.]
[  5.  68.   2.   2.   1.]
[  2.  40.  -1.   3.   2.]
[  5.  92.   4.   2.   2.]
[  2.  62.   1.   3.   0.]
[  5.  51.   0.   3.   0.]
[  5.  37.  -1.   0.   2.]
[ 11.  52.   0.   1.   1.]
[ 11.  42.  -1.   1.   3.]
[ 11.  75.   2.   0.   2.]
[  5.  53.   0.   3.   2.]
[ 11.  48.   0.   3.   2.]
[ 11.  62.   1.   0.   2.]
[ 11.  54.   0.   0.   2.]
[ 11.  36.  -1.   2.   2.]
[ 11.  56.   1.   2.   0.]
[ 12.  46.   0.   0.   2.]
[ 11.  46.   0.   0.   2.]
[  5.  54.   0.   3.   1.]
[  5.  66.   2.   0.   2.]
[  5.  50.   0.   2.   1.]
[ 11.  62.   1.   0.   1.]
[  2.  38.  -1.   0.   2.]
[  2.  69.   2.   3.   2.]
[  2.  95.   4.   3.   0.]
[  2.  86.   4.   3.   0.]
[  5.  64.   1.   3.   2.]
[ 11.  46.   0.   1.   2.]
[  2.  59.   1.   0.   2.]
[  2.  48.   0.   2.   3.]
[ 11.  42.  -1.   3.   2.]
[   8.  100.    5.    1.    3.]
[   8.  100.    5.    3.    1.]
[  8.  91.   4.   1.   3.]
[  8.  69.   2.   1.   3.]
[  5.  70.   2.   0.   0.]
[  1.  66.   2.   1.   0.]
[  1.  49.   0.   3.   2.]
[ 11.  55.   0.   3.   2.]
[ 11.  76.   3.   3.   2.]
[ 11.  67.   2.   1.   2.]
[ 11.  68.   2.   3.   2.]
[ 11.  52.   0.   3.   2.]
[  5.  64.   1.   0.   2.]
[ 11.  67.   2.   0.   2.]
[ 11.  60.   1.   0.   2.]
[ 11.  74.   2.   1.   1.]
[ 11.  90.   4.   1.   1.]
[ 11.  83.   3.   3.   1.]
[ 11.  60.   1.   2.   1.]
[  2.  98.   5.   1.   1.]
[  2.  70.   2.   3.   2.]
[  2.  47.   0.   0.   0.]
[  2.  57.   1.   3.   0.]
[  5.  70.   2.   2.   0.]
[  2.  54.   0.   3.   0.]
[  5.  39.  -1.   3.   0.]
[  5.  55.   0.   0.   3.]
[  1.  56.   1.   3.   2.]
[ 11.  36.  -1.   3.   2.]
[  8.  92.   4.   3.   3.]
[   8.  100.    5.    3.    1.]
[   8.  100.    5.    0.    1.]
[   8.  100.    5.    1.    3.]
[  1.  62.   1.   1.   3.]
[  1.  96.   5.   1.   3.]
[  1.  85.   4.   1.   3.]
[  5.  28.  -2.   3.   2.]
[ 11.  38.  -1.   2.   2.]
[  5.  45.   0.   3.   2.]
[  5.  77.   3.   0.   2.]
[  5.  71.   2.   2.   0.]
[  5.  58.   1.   3.   0.]
[  5.  49.   0.   2.   0.]
[ 11.  56.   1.   3.   2.]
[ 11.  72.   2.   0.   2.]
[ 11.  78.   3.   0.   2.]
[ 11.  39.  -1.   1.   2.]
[ 11.  50.   0.   3.   1.]
[  5.  47.   0.   0.   2.]
[ 11.  62.   1.   3.   2.]
[  5.  42.  -1.   3.   2.]
[ 11.  67.   2.   0.   2.]
[ 11.  79.   3.   1.   1.]
[ 11.  53.   0.   3.   2.]
[  5.  54.   0.   3.   2.]
[ 11.  55.   0.   1.   1.]
[  2.  86.   4.   1.   2.]
[  5.  58.   1.   3.   2.]
[  2.  66.   2.   0.   0.]
[  2.  59.   1.   3.   0.]
[  5.  41.  -1.   3.   0.]
[  5.  84.   3.   2.   0.]
[  2.  42.  -1.   0.   0.]
[  1.  72.   2.   1.   3.]
[  1.  83.   3.   1.   3.]
[  5.  49.   0.   3.   2.]
[  5.  42.  -1.   2.   2.]
[  5.  31.  -2.   3.   3.]
[  5.  59.   1.   3.   3.]
[  8.  76.   3.   3.   1.]
[   8.  100.    5.    3.    1.]
[   8.  100.    5.    3.    1.]
[   8.  100.    5.    3.    1.]
[  8.  53.   0.   3.   2.]
[  5.  48.   0.   3.   3.]
[  5.  84.   3.   3.   2.]
[  5.  39.  -1.   3.   2.]
[ 11.  15.  -4.   2.   0.]
[ 11.  44.  -1.   3.   2.]
[ 11.  53.   0.   0.   2.]
[ 11.  59.   1.   0.   2.]
[ 11.  52.   0.   3.   2.]
[ 11.  54.   0.   0.   2.]
[  5.  86.   4.   2.   0.]
[  5.  77.   3.   0.   0.]
[ 11.  65.   2.   3.   0.]
[ 11.  92.   4.   0.   2.]
[ 11.  79.   3.   0.   2.]
[ 11.  61.   1.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  45.   0.   3.   2.]
[  5.  56.   1.   0.   2.]
[ 11.  53.   0.   3.   2.]
[  5.  41.  -1.   0.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  47.   0.   3.   2.]
[  2.  58.   1.   3.   2.]
[  2.  63.   1.   3.   2.]
[  2.  55.   0.   3.   0.]
